"KeySite",,"TaxUnit",,"Timeslice","Coordinates",,"Dating","Dating method","Quality of dating","Site type","Site stratification","Assemblage position","Assemblage coherence","Site faunal remains","Year of excavation","Literature","Availability of Armature Outlines",,,,"Availability of Endscraper Outlines",,,,"Availability of Borer Outlines",,,,,,
"Slotseng","D","Federmesser","Feder_SS",2,9.26,55.33,"14,000-13,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Holm and Rieck 1992",,,,,,,,,,,,,"Southern Scandinavia","SS",
"HasseloeTvaervej",,"Federmesser","Feder_SS",2,11.88,54.73,"14,000-13,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","After 2000","VangPetersen 2006",,"x",,,,,,,,,,,"Southern Scandinavia","SS",
"Stoksbjerg","Vest","Federmesser","Feder_SS",2,11.89,55.28,"14,000-13,000","Typology","Problematic","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Johansson 2003",,"x",,,,"x",,,,,,,"Southern Scandinavia","SS",
"Bromme",,"Brommean","Brom_SS",3,11.5,55.49,"13,000-12,700","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","Before WW2","Mathiassen 1946",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"Bro",,"Brommean","Brom_SS",3,9.98,55.53,"13,000-12,700","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Andersen 1972",,,"x",,,,,,,,,,"Southern Scandinavia","SS",
"StoksbjergBro",,"Brommean","Brom_SS",3,11.9,55.28,"13,000-12,700","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","BuckPedersen and BrinchPetersen 2006",,,,,,,,,,,,,"Southern Scandinavia","SS",
"Skovmosen",,"Brommean","Brom_SS",3,12.54,55.77,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Eggers-Kaasetal 2019",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"FeldinbjergBaek",,"Brommean","Brom_SS",3,9.12,56.5,"13,000-12,700","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Riede 2012",,,,,,,,,,,,,"Southern Scandinavia","SS",
"Trollesgave",,"Brommean","Brom_SS",3,11.81,55.28,"13,000-12,700","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Fischer 1990; Fischer et al 2013",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"Ellebjerg",,"Ahrensburgian","Ahr_SS",4,11.41,55.67,"12,000-11,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","BuckPedersen 2009",,,,,,,,,,,,,"Southern Scandinavia","SS",
"Eskebjerg",,"Ahrensburgian","Ahr_SS",4,11.7,55.07,"12,000-11,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","BuckPedersen 2009",,,,"x",,,,"x",,,,,"Southern Scandinavia","SS",
"Soelbjerg",1,"Ahrensburgian","Ahr_SS",4,11.09,54.76,"12,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1980-2000","Petersen and Johansen 1991",,,,"x",,,,"x",,,,,"Southern Scandinavia","SS",
"Dvaergebakke",,"Ahrensburgian","Ahr_SS",4,9.35,56.18,"12,000-11,000","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","Moebjerg 2005",,,,,,,,,,,,,"Southern Scandinavia","SS",
"Barmose",1,"Maglemose","Magle_SS",4,11.89,55.05,"12,000-11,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1950-1980","Johansson 1990",,,,"x",,,,"x",,,,"x","Southern Scandinavia","SS",
"Klosterlund",,"Maglemose","Magle_SS",4,9.35,56.19,"12,000-11,000","C14","Reliable","Openair","Surface","Primary/insitu","Mixed","No","Before WW2","Mathiassen 1937",,,,"x",,,,"x","x",,,"x","Southern Scandinavia","SS",
"Aarup","1/2","Maglemose","Magle_SS",4,14.47,56.05,"12,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","KarstenNilsson 2006",,,,"x",,,,"x",,,,"x","Southern Scandinavia","SS",
"Noerregaard","VI","Maglemose","Magle_SS",4,9.24,55.47,"12,000-11,000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","After 2000","SoerensenSternke 2004",,,,"x",,,,"x",,,,,"Southern Scandinavia","SS",
"Syltholm","VII","Ahrensburgian","Ahr_SS",4,11.39,54.65,"12,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Måge 2019",,,,"x",,,,,,,,,"Southern Scandinavia","SS",
"Draved",611,"Maglemose","Magle_SS",4,8.98,55.02,"12,000-11,000","C14","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Sobotta 1991",,,,"x",,,,,,,,,"Southern Scandinavia","SS",
"Fensmark","B","Brommean","Brom_SS",3,11.79,55.29,"13,000-12,700","Typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Fischer 2013",,,"x",,,,,,,,,,"Southern Scandinavia","SS",
"Segebro",,"Brommean","Brom_SS",3,13,56,"13,000-12,700","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1950-1980","Salomonsson 1964",,,"x",,,,"x",,,,,,"Southern Scandinavia","SS",
"Le Closeau","Locus 4,33,46","Early Azilian","EAzil_NF","1,2",2.158193,48.869548,"12,5-12,1 BP","C14 (fauna)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bodu 1998,Bodu 2000,Bodu and Mevel 2008,Bodu et al. 2006","x","x",,,"x","x",,,,,,,"Northern France","NF",
"La Fru","level 3-1,3-2","Early Azilian","EAzil_NF","1,2",5.80425913714544,45.4433931581582,"12,5-11,8 BP","C14 (fauna)","Reliable","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1980-2000","Mevel 2013,2017","x","x","x",,"x","x","x",,,,,,"Northern France","NF",
"Le Closeau","Locus 14,20,25,26,34,36","Late Azilian","LAzil_NF","2,3",2.158193,48.869548,"11,3-10,5 BP","C14 (charcoal)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bodu 1998,Mevel and Bodu 2018",,"x","x",,,"x","x",,,"x","x",,"Northern France","NF",
"La Fru","level 2-1","Late Azilian","LAzil_NF","2,3",5.80425913714544,45.4433931581582,"11,4-10,7 BP","C14 (fauna)","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Mevel 2014,2017",,,,,,,,,,,,,"Northern France","NF",
"Calleville","single layer","Belloisian","Bell_NF",4,0.780852656281644,49.2045105401912,"undated","no datable remains",,"Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Biard and Hinguant 2011,2014",,,,"x",,,,"x",,,,,"Northern France","NF",
"Alizay","single layer","Belloisian","Bell_NF",4,1.16366918862756,49.3158939921655,"9,6 BP","C14 (fauna)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Bemilli et al. 2014,Biard and Bemilli 2018",,,,"x",,,,"x",,,,,"Northern France","NF",
"Les Tarterets 2","single layer","Upper Magdalenian","UMag_NF",1,2.46700755794748,48.6170320840735,"undated","no datable remains",,"Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Brezillon 1971,Caron-Laviolette et al. 2018","x",,,,"x",,,,"x",,,,"Northern France","NF",
"Abri des Douattes","US 20,26,28","Upper Magdalenian","UMag_NF",1,5.96505326434852,46.0082992101995,"12,8-12,2 BP","C14 (fauna)","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Moulin et al. in press,Pion and Mevel 2005,Affolter 2009","x",,,,"x",,,,"x",,,,"Northern France","NF",
"Etiolles","U5/P15,Q31","Upper Magdalenian","UMag_NF",1,2.46553869365135,48.6331090800784,"13-12 BP","C14 (fauna)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Pigeot 1987,Olive 1988,Pigeot 2004,Olive et al. 2019,Roblin-Jouve et al. 2016","x",,,,"x",,,,"x",,,,"Northern France","NF",
"Sun Hole","upper part pleistocene levels, 1951-54, unclear","Creswellian/Late Magdalenian","Cres_GBS",1,-2.764321,51.283486,"15,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Tratman 1955,Collcutt et al. 1981,Stevens et al. 2010,Jacobi and Higham 2009,2011","x",,,,,,,,"x",,,,"Britain and Scotland","GBS","Dated on human bone (ulna); pre WWII collections bomb damaged"
"Aveline's Hole","outer chamber', northern side, unclear","Creswellian/Late Magdalenian","Cres_GBS",1,-2.753725,51.324858,"15,000-14,000","C14","Reliable","Cave","Stratified","Secondary/relocated","Mixed","Preseved","Before WW2","Jacobi 2007",,,,,,,,,,,,,"Britain and Scotland","GBS","Creswellian with presence of bipoints, not a clear stratigraphic context; 1914,1919-1931 collection bomb damage"
"King Arthur's Cave","unit 4, grey scree","Creswellian/Late Magdalenian","Cres_GBS",1,-2.660441,51.836529,"15,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1980-2000","Barton and Roberts 1996,Jacobi and Higham 2009,2011",,,,,,,,,,,,,"Britain and Scotland","GBS","Material from both early excavations and 1990's excavations. The assemblage is not direclty associated to the dated material. Dated on horse (Equus ferus) and red deer (Cervus elaphus)"
"Gough's (New) Cave, British Museum Excavation 1987-1989","1986 excavation","Creswellian/Late Magdalenian","Cres_GBS",1,-2.765884,51.2819,"15,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1980-2000","Jacobi and Higham 2009,2011",,,,,,,,,,,,,"Britain and Scotland","GBS","Not to be confused with Gough's Old Cave. Creswellian with presence of bipoints, not a clear stratigraphic context; dated on human reamins, Mammoth ivory (Mammuthus primagneus), worked antler (Rangifer tarandus), and cut marked horse (Equus ferus)"
"Gough's (New) Cave","low stratigraphic resolution early excavation assemblage","Creswellian/Late Magdalenian","Cres_GBS",1,-2.765884,51.2819,"15,000-14,000","C14","Reliable","Cave","Stratified","Secondary/relocated","Mixed","Preseved","Before WW2","Jacobi and Higham 2009,2011","x",,,,"x",,,,"x",,,,"Britain and Scotland","GBS","Not to be confused with Gough's Old Cave. Creswellian with presence of bipoints, not a clear stratigraphic context; dated on human remains, horse (Equus ferus) and red deer(Cervus elaphus)."
"Pixie's Hole Cave","unstratified","Creswellian/Late Magdalenian","Cres_GBS",1,-3.604429,50.596516,"15,000-14,000","C14","Reliable","Cave","Surface","Secondary/relocated","Mixed","Preseved","1980-2000","Collcutt 1986,Barton and Roberts 1996",,,"x",,,,"x",,,,"x",,"Britain and Scotland","GBS","The dated bones are not directly associated to the assemblage other than bos near the hearth; early (Cervus elaphus) date is from further within the cave and not associated to the assemblage; the later bovine date (Bos sp.) is closely associated to the hearth with the lithics material CBP below"
"Three Holes Cave","stratified, lower level","Creswellian/Late Magdalenian","Cres_GBS",1,-3.667295,50.49312,"15,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Barton and Roberts 1996",,,"x",,"x",,,,,,,,"Britain and Scotland","GBS",
"Church Hole Cave","unstratified assemblage","Creswellian/Late Magdalenian","Cres_GBS",1,-1.201818,53.261075,"15,000-14,000","C14","Problematic","Cave","Stratified","Secondary/relocated","Homogeneous","Preseved","1980-2000","Jacobi 2005,Jacobi and Higham 2009,2011",,,,,,,,,,,,,"Britain and Scotland","GBS",
"Robin Hood Cave, Campbell","unstratified assemblage, relatively uniform assemblage in talus","Creswellian/Late Magdalenian","Cres_GBS",1,-1.184218,53.261729,"15,000-14,000","C14","Reliable","Cave","Stratified","Secondary/relocated","Mixed","Preseved","1950-1980","Jacobi and Higham 2009,2011","x",,,,"x",,,,"x",,,,"Britain and Scotland","GBS","Dated cut marked Lepus timidus "
"Mother Grundy’s Parlour","unstratified assemblage, mixed with Mesolithic","Creswellian/Late Magdalenian","Cres_GBS",1,-1.196651,53.262352,"15,000-14,000","C14","Reliable","Cave","Stratified","Secondary/relocated","Mixed","Preseved","Before WW2","Armstrong 1925; Jacobi and Higham 2009,2011",,,,,,,"x",,,,,,"Britain and Scotland","GBS","mixed mesolithic and upper palaeolithic assemblage; dated fractured Equus ferus teeth asssociated to the Creswellina, absence of hare (Lepus timidus)"
"Kent's Cavern","Black band and cave earth","Creswellian/Late Magdalenian","Cres_GBS",1,-3.501791,50.467148,"15,000-14,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Jacobi and Higham 2009,2011","x",,,,"x",,,,,,,,"Britain and Scotland","GBS","relatively good stratigraphic reconstruction although an early excavation, emphasis on ""black band"" hearth horizon  (Jacobi and Higham 2009); dating cut marked horse (Equus ferus), bovine (Bos sp.), and domestic dog (Canis sp.)"
"Wey Manor Farm","uniform open-air site","Creswellian/Late Magdalenian","Cres_GBS",1,-0.477553,51.357732,"15,000-14,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Jones et al. 2013","x",,,,"x",,,,,,,,"Britain and Scotland","GBS","refitting"
"Bradgate Park Estate","uniform open-air site","Creswellian/Late Magdalenian","Cres_GBS",1,-1.220094,52.686164,"15,000-14,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Cooper 2012","x",,,,"x",,,,"x",,,,"Britain and Scotland","GBS",
"Hengistbury Head"," open-air site, potential palimpsests, refitting groups","Backed Blade/H-type CBP","HFeder_GBS","1,2",-1.754574,50.714135,"15,000-13,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Barton 1992","x","x",,,"x","x",,,"x","x",,,"Britain and Scotland","GBS",
"Nea Farm","uniform open-air site, refitting","Backed Blade/H-type CBP","HFeder_GBS","1,2",-3.501791,50.467148,"15,000-13,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Barton et al. 2009","x","x",,,"x","x",,,,,,,"Britain and Scotland","GBS",
"Brockhill","ploughed out uniform scatter","Backed Blade/H-type CBP","HFeder_GBS","1,2",-0.586092,51.328254,"15,000-13,000","Techno-typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","Before WW2","Barton 1992,Mills 2022","x","x",,,,,,,,,,,"Britain and Scotland","GBS",
"Howburn","sedimentary horizons c1 and c2, southern concentration Trench I and Trench II, block 2","Havelte","Hav_GBS","1,2",-3.476484,55.679912,"15,000-13,000","Techno-typology","Problematic","Openair","Stratified","Secondary/relocated","Mixed","No","After 2000","Ward et al. 2009,Ballin 2018","x","x",,,"x","x",,,"x","x",,,"Britain and Scotland","GBS","surface finds and excavation, Havelte Hamburgian and Federmesser, some discreet scatters that are Havelte, others mixed and surface."
"Pixie's Hole","stratified","Allerød CBP","AFeder_GBS",3,-3.604429,50.596516,"13,000-12,000","C14","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1980-2000","Collcutt 1986,Barton and Roberts 1996",,,,,,,,,,,,,"Britain and Scotland","GBS","The dated  bovine bone date (Bos sp.) is closely associated to the hearth with the lithics material CBP"
"Mother Grundy’s Parlour","stone tools from mixed (Mesolithic) contexts","Allerød CBP","AFeder_GBS",3,-1.196651,53.262352,"13,000-12,000","C14","Problematic","Cave","Stratified","Secondary/relocated","Mixed","No","Before WW2","Armstrong 1925,Jacobi 2004,2007,Jacobi and Higham 2011",,,"x",,,,,,,,,,"Britain and Scotland","GBS","presence of distinctive ""penknife points"" but a general absence of dating directly associated to this lithic assemblage. The dates on fragmented horse teeth from MGP are associated to the Creswellian, but the assemblage is mixed. Possible , one date on charcoal from hearth (Hedges et al. 1996)"
"Pin Hole Cave","Cave floor surface collection","Allerød CBP","AFeder_GBS",3,-1.196651,53.262352,"13,000-12,000","c14","Reliable","Cave","Surface","Secondary/relocated","Mixed","Preseved","1950-1980","Armstrong 1924-1936,Jacobi and Higham 2011",,,"x",,,,,,,,,,"Britain and Scotland","GBS","cut marked bone  (Lepus timidus) and lithics by Leslie Armstrong 1924-1936; , both Creswellian and Penknife CBP"
"King Arthur's Cave","unit 3, yellow scree","Allerød CBP","AFeder_GBS",3,-2.660441,51.836529,"13,000-12,000","Techno-typology","Reliable","Cave","Stratified","Primary/insitu","Mixed","Preseved","1980-2000","Barton 1995,1996,Barton and Roberts 1996",,,,,,,,,,,,,"Britain and Scotland","GBS",
"Three Holes Cave","stratified, upper level","Allerød CBP","AFeder_GBS",3,-3.667295,50.49312,"13,000-12,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Barton and Roberts 1996","x",,,,,,,,,,,,"Britain and Scotland","GBS",
"Kendrick’s Cave","unclear, probably brecchia","Allerød CBP","Cres_GBS",1,-3.832373,53.32785,"15,000-14,000","C14","Problematic","Cave","Stratified","Primary/insitu","Mixed","Preseved","Before WW2","Sieveking 1971,Richards et al. 2005,Jacobi and Higham 2009,2011,Rees and Nash 2017",,,,,,,,,,,,,"Britain and Scotland","GBS",
"Aveline's Hole","unclear, old excavation","Allerød CBP","AFeder_GBS",3,-2.753725,51.324858,"13,000-12,000","C14","Reliable","Cave","Stratified","Secondary/relocated","Mixed","Preseved","Before WW2","Jacobi 2005",,,,,,,,,,,,,"Britain and Scotland","GBS","Potentially elements preserved from sediments at the back of the cave during early excavations, but this remains unclear. "
"Seamer K"," Clusters 13/14, 3/4 and 6 and smaller scatters 15, 25 and 27","Allerød CBP","AFeder_GBS",3,-0.409258,54.223044,"13,000-12,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Conneller 2007",,,"x",,,,,,,,,,"Britain and Scotland","GBS",
"Broken Cavern","stratified","Allerød CBP","AFeder_GBS",3,-3.668935,50.494398,"13,000-12,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Barton and Roberts 1996",,,,,,,,,,,,,"Britain and Scotland","GBS",
"Symmonds Yat","stratified, reddish-brown gritty clay","Allerød CBP","AFeder_GBS",3,-2.640125,51.835918,"13,000-12,000","Techno-typology","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Barton 1994,Barton and Roberts 1996",,,"x",,,,,,,,,,"Britain and Scotland","GBS",
"Rookery Farm","bioturbated and palimpsest subsoil horizon, refitting","Allerød CBP","AFeder_GBS",3,0.248649,52.187681,"13,000-12,000","Techno-typology","Problematic","Openair","Stratified","Secondary/relocated","Homogeneous","Preseved","After 2000","Conneller et al. 2009",,,"x",,,,,,,,,,"Britain and Scotland","GBS",
"Kilmelfort Cave","unclear stratigraphic context, mostly out of context, salvage operation","Allerød CBP","AFeder_GBS",3,-5.470919,56.257799,"13,000-12,000","Techno-typology","Problematic","Cave","Stratified","Secondary/relocated","Homogeneous",,"1980-2000","Saville and Ballin 2009,Ballin 2017",,,"x",,,,"x",,,,"x",,"Britain and Scotland","GBS",
"Three Ways Warf","Scatters A and C","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.483934,51.55055,"12,000-11,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Lewis and Rackham 2011",,,,"x",,,,"x",,,,"x","Britain and Scotland","GBS",
"Sproughton","in low energy sands and gravels sealed by peat","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,1.101723,52.049575,"12,000-11,000","C14","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Wymer et al. 1975,Barton 1986,1991,Barton and Roberts 2020",,,,"x",,,,,,,,,"Britain and Scotland","GBS",
"Avington VI","brown clayey loam horizon","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-1.220094,52.686164,"12,000-11,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Barton and Froom 1986,Froom 2005",,,,"x",,,,,,,,,"Britain and Scotland","GBS",
"Riverdale","surface scatter, unstratified","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,1.098137,51.288597,"12,000-11,000","Techno-typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","Before WW2","Barton 1986",,,,,,,,,,,,,"Britain and Scotland","GBS","refitting"
"Launde","humic subsoil","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.825879,52.630281,"12,000-11,000","Techno-typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Cooper 2006",,,,"x",,,,"x",,,,,"Britain and Scotland","GBS",
"Church Lammas","scatters 1 and 2","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.521716,51.438683,"12,000-11,000","Techno-typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Jones et al. 2013",,,,,,,,,,,,,"Britain and Scotland","GBS","very few (1 partial microlith) formal tools, but several cores and debitage as well as associated fauna. Although stratified, there is significant bioturbation. "
"Seamer L",,"Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.464825,54.233172,"12,000-11,000","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Conneller 2007",,,,,,,,,,,,,"Britain and Scotland","GBS","refitting"
"Seamer C","Scatters B1, H and K","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.464825,54.233172,"12,000-11,000","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Conneller 2007",,,,,,,,,,,,,"Britain and Scotland","GBS","refitting"
"Flixton I",,"Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-0.428862,54.213811,"12,000-11,000","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Conneller 2007,Conneller and Higham 2015",,,,,,,,,,,,,"Britain and Scotland","GBS",
"Balevullin (Isle of Tiree) ","surface find","Long Blade Industries/Epi-Ahrensburgian (FBT)","FBBT_GBS",4,-6.906966,56.493236,"12,000-11,000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","After 2000","Ballin and Saville 2003,Ballin 2017",,,,"x",,,,,,,,,"Britain and Scotland","GBS","isolated surface find"
"Star Carr","Detrital wood horizon and central platform","Early Mesolithic","EMeso_GBS",4,-0.42348,54.214287,"11,000-10,000","14C","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Reynier 2005,Milner et al. 2018",,,,"x",,,,"x",,,,"x","Britain and Scotland","GBS","redfitting"
